,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-0,Michiel Schapers,F,6-2 6-3 6-4,Miloslav Mecir,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
1,H2H 1-0,Derrick Rostagno,SF,6-2 6-1,Miloslav Mecir,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
2,H2H 2-0,Carl Limberger,SF,2-6 6-3 6-4,Michiel Schapers,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
3,H2H 1-0,Bruce Derlin,QF,6-2 6-2,Miloslav Mecir,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
4,H2H 3-1,Ramesh Krishnan,QF,6-3 6-7 10-8,Derrick Rostagno,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
5,H2H 1-1,Marcel Freeman,QF,6-2 3-6 6-4,Carl Limberger,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
6,H2H 1-0,Bud Schultz,QF,7-6 2-6 6-4,Michiel Schapers,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
7,H2H 1-0,Glenn Michibata,R16,6-3 6-3,Miloslav Mecir,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
8,H2H 1-1,Brett Steven,R16,7-6 6-3,Bruce Derlin,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
9,H2H 3-0,Johan Carlsson,R16,6-3 6-1,Ramesh Krishnan,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
10,H2H 3-1,Marty Davis,R16,7-6 6-2,Derrick Rostagno,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
11,H2H 1-0,Pat Serret,R16,6-4 6-4,Carl Limberger,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
12,H2H 1-2,Wally Masur,R16,3-6 6-3 8-6,Marcel Freeman,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
13,H2H 1-3,Mark Woodforde,R16,6-3 1-6 8-6,Michiel Schapers,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
14,H2H 1-0,Milan Srejber,R16,2-6 6-4 6-4,Bud Schultz,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
15,H2H 2-1,Peter Doohan,R32,6-2 7-6,Miloslav Mecir,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
16,H2H 1-0,Richard Schmidt,R32,5-7 6-4 6-4,Glenn Michibata,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
17,H2H 2-1,Javier Frana,R32,7-6 7-5,Brett Steven,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
18,H2H 1-2,Bill Scanlon,R32,6-3 7-6,Bruce Derlin,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
19,H2H 3-0,Bob Green,R32,7-5 6-2,Ramesh Krishnan,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
20,H2H 2-0,Kelly Evernden,R32,4-6 6-3 6-4,Johan Carlsson,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
21,H2H 1-0,Claudio Pistolesi,R32,7-6 6-4,Marty Davis,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
22,H2H 1-0,Jay Lapidus,R32,7-5 6-3,Derrick Rostagno,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
23,H2H 1-0,Nduka Odizor,R32,6-3 6-4,Pat Serret,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
24,H2H 1-0,Gilad Bloom,R32,6-3 6-7 6-4,Carl Limberger,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
25,H2H 1-0,John Letts,R32,6-3 6-2,Wally Masur,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
26,H2H 2-0,Jon Levine,R32,4-6 6-2 6-1,Marcel Freeman,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
27,H2H 1-0,Steve Guy,R32,6-3 7-6,Michiel Schapers,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
28,H2H 2-0,Darren Cahill,R32,6-1 3-6 6-2,Mark Woodforde,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
29,H2H 1-0,Brad Pearce,R32,6-4 6-1,Bud Schultz,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
30,H2H 2-0,Kelly Jones,R32,6-4 7-5,Milan Srejber,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
31,,C Limberger / M Woodforde,F,7-6 7-6,K Jones / B Pearce,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
32,,S Guy / P Serret,SF,6-3 6-4,K Jones / B Pearce,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
33,,G Bloom / J Levine,SF,7-6 6-4,C Limberger / M Woodforde,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
34,,M Mecir / M Srejber,QF,7-6 7-5,K Jones / B Pearce,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
35,,B Derlin / R Krishnan,QF,6-3 0-6 7-5,S Guy / P Serret,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
36,,K Richter / R Rudeen,QF,6-4 6-3,C Limberger / M Woodforde,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
37,,D Mustard / B Steven,QF,6-4 6-7 6-3,G Bloom / J Levine,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
38,,M Davis / M Freeman,R16,6-4 3-6 8-6,K Jones / B Pearce,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
39,,P Kuhnen / D Utzinger,R16,7-6 6-3,M Mecir / M Srejber,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
40,,G Michibata / B Schultz,R16,6-7 7-5 6-4,S Guy / P Serret,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
41,,D Saltz / T Siegel,R16,6-4 6-2,B Derlin / R Krishnan,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
42,,A Emerson / D Lewis,R16,6-4 6-7 6-3,C Limberger / M Woodforde,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
43,,B Green / J Letts,R16,4-6 6-1 6-4,K Richter / R Rudeen,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
44,,J Carlsson / C Pistolesi,R16,6-7 6-1 11-9,G Bloom / J Levine,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
45,,N Odizor / M Schapers,R16,7-6 4-6 6-3,D Mustard / B Steven,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland
