,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-2,Andy Roddick,12.0,1.0,5980038.0,151610.0,,2.26,Andy Roddick,52.0,0.0,0.0,54.0,10.0,67.0,44.0,33.0,23.0,9.0,,,,,,2.0,121.0,,,2.26,1.70,F,6-3 7-5,Robin Soderling,16.0,2.0,5980038.0,151609.0,,1.7,Robin Soderling,69.0,10.0,2.0,67.0,25.0,54.0,39.0,35.0,15.0,9.0,,,,,,1.0,121.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
1,H2H 5-2,Radek Stepanek,9.0,3.0,5980036.0,151364.0,,4.75,Radek Stepanek,48.0,1.0,1.0,55.0,12.0,64.0,39.0,27.0,25.0,9.0,,,,,,2.0,119.0,,,4.75,1.22,SF,6-3 7-5,Robin Soderling,7.0,1.0,5980036.0,151363.0,,1.22,Robin Soderling,71.0,5.0,3.0,64.0,28.0,55.0,36.0,31.0,19.0,12.0,,,,,,1.0,119.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
2,H2H 2-2,Kevin Anderson,13.0,4.0,5980037.0,151391.0,,5.65,Kevin Anderson,69.0,1.0,1.0,70.0,20.0,82.0,53.0,33.0,29.0,16.0,,,,,,1.0,152.0,,,5.65,1.17,SF,6-2 4-6 6-2,Andy Roddick,15.0,1.0,5980037.0,151392.0,,1.17,Andy Roddick,83.0,9.0,4.0,82.0,33.0,70.0,47.0,41.0,23.0,9.0,,,,,,2.0,152.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
3,H2H 1-0,Matthew Ebden,5.0,3.0,5980032.0,151344.0,,11.3,Matthew Ebden,52.0,0.0,0.0,55.0,18.0,60.0,39.0,25.0,21.0,9.0,,,,,,2.0,115.0,,,11.30,1.06,QF,6-3 6-2,Robin Soderling,9.0,3.0,5980032.0,151343.0,,1.06,Robin Soderling,63.0,6.0,3.0,60.0,26.0,55.0,39.0,30.0,16.0,7.0,,,,,,1.0,115.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
4,H2H 1-3,Florian Mayer,1.0,2.0,5980033.0,151342.0,,2.36,Florian Mayer,52.0,2.0,1.0,50.0,14.0,71.0,43.0,27.0,28.0,11.0,,,,,,2.0,121.0,,,2.36,1.65,QF,6-3 6-3,Radek Stepanek,3.0,0.0,5980033.0,151341.0,,1.65,Radek Stepanek,69.0,13.0,4.0,71.0,33.0,50.0,24.0,20.0,26.0,16.0,,,,,,1.0,121.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
5,H2H 3-0,Santiago Giraldo,3.0,1.0,5980034.0,151316.0,,2.25,Santiago Giraldo,76.0,10.0,4.0,82.0,31.0,70.0,46.0,34.0,24.0,11.0,,,,,,2.0,152.0,,,2.25,1.74,QF,2-6 6-3 6-4,Kevin Anderson,12.0,3.0,5980034.0,151315.0,,1.741,Kevin Anderson,76.0,7.0,4.0,70.0,25.0,82.0,54.0,41.0,28.0,10.0,,,,,,1.0,152.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
6,H2H 3-1,Marcos Baghdatis,3.0,0.0,5980035.0,151321.0,,3.05,Marcos Baghdatis,39.0,4.0,1.0,48.0,14.0,49.0,19.0,15.0,30.0,10.0,,,,,,1.0,97.0,,,3.05,1.43,QF,6-2 6-3,Andy Roddick,7.0,0.0,5980035.0,151322.0,,1.43,Andy Roddick,58.0,8.0,4.0,49.0,24.0,48.0,31.0,24.0,17.0,10.0,,,,,,2.0,97.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
7,H2H 2-0,Michael Berrer,8.0,1.0,5980024.0,151312.0,,6.5,Michael Berrer,67.0,2.0,0.0,74.0,21.0,68.0,43.0,32.0,25.0,14.0,,,,,,2.0,142.0,,,6.50,1.14,R16,6-3 7-6(7),Robin Soderling,9.0,1.0,5980024.0,151311.0,,1.14,Robin Soderling,75.0,3.0,1.0,68.0,22.0,74.0,51.0,40.0,23.0,13.0,,,,,,1.0,142.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
8,H2H 1-1,Denis Istomin,1.0,7.0,5980025.0,151310.0,,1.39,Denis Istomin,55.0,2.0,2.0,62.0,23.0,56.0,30.0,18.0,26.0,14.0,,,,,,2.0,118.0,,,1.39,3.20,R16,6-4 6-4,Matthew Ebden,5.0,1.0,5980025.0,151309.0,,3.2,Matthew Ebden,63.0,5.0,4.0,56.0,24.0,62.0,45.0,32.0,17.0,7.0,,,,,,1.0,118.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
9,H2H 4-1,Mardy Fish,9.0,2.0,5980026.0,151545.0,,1.66,Mardy Fish,40.0,3.0,0.0,45.0,11.0,60.0,40.0,23.0,20.0,6.0,,,,,,1.0,105.0,,,1.66,2.34,R16,6-3 6-1,Radek Stepanek,3.0,2.0,5980026.0,151546.0,,2.34,Radek Stepanek,65.0,10.0,4.0,60.0,31.0,45.0,32.0,28.0,13.0,6.0,,,,,,2.0,105.0,,,2011-01-03,https://matchstat.com/tennis/tournaments/m/Brisbane/2011,Brisbane
