,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-5,David Goffin,2.0,7.0,8293179.0,3456507.0,,1.72,David Goffin,59.0,8.0,3.0,62.0,27.0,62.0,41.0,22.0,21.0,10.0,10.0,,,,,1.0,131.0,,,1.72,2.10,F,7-5 6-2,Dominic Thiem,5.0,3.0,8293179.0,3456508.0,,2.1,Dominic Thiem,72.0,12.0,6.0,69.0,37.0,59.0,41.0,27.0,18.0,8.0,10.0,,,,,2.0,131.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
1,H2H 2-1,Thomaz Bellucci,3.0,3.0,8292383.0,3456076.0,,2.15,Thomaz Bellucci,38.0,0.0,0.0,47.0,10.0,46.0,28.0,18.0,18.0,10.0,9.0,,,,,2.0,96.0,,,2.15,1.65,SF,6-4 6-2,David Goffin,4.0,1.0,8292383.0,3456075.0,,1.65,David Goffin,58.0,4.0,3.0,49.0,21.0,46.0,28.0,23.0,18.0,14.0,9.0,,,,,1.0,96.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
2,H2H 3-1,Feliciano Lopez,9.0,9.0,8292169.0,3455994.0,,2.8,Feliciano Lopez,88.0,3.0,0.0,88.0,24.0,92.0,59.0,47.0,33.0,17.0,16.0,,,,,2.0,189.0,,,2.80,1.40,SF,6-3 6-7(5) 6-3,Dominic Thiem,7.0,1.0,8292169.0,3455993.0,,1.4,Dominic Thiem,101.0,7.0,4.0,101.0,37.0,87.0,70.0,53.0,17.0,11.0,14.0,,,,,1.0,189.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
3,H2H 3-1,Joao Sousa,4.0,3.0,8291991.0,3455770.0,,2.95,Joao Sousa,119.0,9.0,3.0,126.0,46.0,114.0,68.0,45.0,46.0,28.0,17.0,,,,,2.0,243.0,,,2.95,1.40,QF,6-7(7) 6-4 7-6(1),David Goffin,13.0,7.0,8291991.0,3455769.0,,1.4,David Goffin,124.0,12.0,4.0,117.0,44.0,119.0,65.0,49.0,54.0,31.0,17.0,,,,,1.0,243.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
4,H2H 5-2,Pablo Andujar,3.0,1.0,8291831.0,3455385.0,,2.2,Pablo Andujar,78.0,9.0,3.0,83.0,30.0,86.0,55.0,35.0,31.0,13.0,13.0,,,,,1.0,170.0,,,2.20,1.63,QF,3-6 6-4 6-1,Thomaz Bellucci,5.0,5.0,8291831.0,3455386.0,,1.625,Thomaz Bellucci,92.0,14.0,5.0,87.0,39.0,78.0,55.0,39.0,23.0,14.0,13.0,,,,,2.0,170.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
5,H2H 3-1,Pablo Carreno Busta,2.0,1.0,8291992.0,3455771.0,,2.7,Pablo Carreno Busta,71.0,2.0,1.0,67.0,18.0,79.0,56.0,43.0,23.0,10.0,14.0,,,,,1.0,147.0,,,2.70,1.42,QF,6-4 3-6 6-2,Dominic Thiem,4.0,2.0,8291992.0,3455772.0,,1.42,Dominic Thiem,76.0,8.0,3.0,80.0,27.0,65.0,48.0,36.0,17.0,13.0,13.0,,,,,2.0,147.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
6,H2H 3-0,Santiago Giraldo,0.0,1.0,8291832.0,3455383.0,,1.714,Santiago Giraldo,68.0,5.0,0.0,76.0,22.0,67.0,50.0,34.0,17.0,12.0,11.0,,,,,1.0,144.0,,,1.71,2.10,QF,7-6(4) 6-4,Feliciano Lopez,12.0,6.0,8291832.0,3455384.0,,2.1,Feliciano Lopez,76.0,4.0,1.0,68.0,22.0,70.0,46.0,35.0,24.0,19.0,11.0,,,,,2.0,144.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
7,H2H 4-1,Horacio Zeballos,0.0,4.0,8289958.0,3454248.0,,4.45,Horacio Zeballos,25.0,2.0,1.0,33.0,8.0,42.0,28.0,11.0,14.0,6.0,7.0,,,,,2.0,79.0,,,4.45,1.21,R16,6-1 6-1,David Goffin,6.0,1.0,8289958.0,3454247.0,,1.208,David Goffin,54.0,11.0,6.0,46.0,29.0,32.0,16.0,13.0,16.0,12.0,7.0,,,,,1.0,79.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
8,H2H 3-0,Denis Istomin,8.0,5.0,8291101.0,3454847.0,,2.1,Denis Istomin,118.0,9.0,3.0,125.0,46.0,114.0,77.0,51.0,37.0,21.0,16.0,,,,,1.0,244.0,,,2.10,1.70,R16,6-7(6) 6-3 7-6(4),Joao Sousa,2.0,3.0,8291101.0,3454848.0,,1.7,Joao Sousa,126.0,8.0,4.0,119.0,47.0,122.0,81.0,58.0,41.0,21.0,17.0,,,,,2.0,244.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
9,H2H 3-1,Dusan Lajovic,4.0,4.0,8289959.0,3454216.0,,2.4,Dusan Lajovic,66.0,0.0,0.0,56.0,16.0,85.0,54.0,29.0,31.0,21.0,10.0,,,,,2.0,145.0,,,2.40,1.54,R16,7-5 6-2,Pablo Andujar,1.0,2.0,8289959.0,3454215.0,,1.541,Pablo Andujar,79.0,9.0,3.0,89.0,39.0,54.0,26.0,24.0,28.0,16.0,10.0,,,,,1.0,145.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
10,H2H 1-0,Stephane Robert,2.0,3.0,8291565.0,3454791.0,,5.0,Stephane Robert,43.0,1.0,1.0,50.0,16.0,54.0,25.0,15.0,29.0,12.0,8.0,,,,,1.0,107.0,,,5.00,1.14,R16,6-3 6-2,Thomaz Bellucci,1.0,3.0,8291565.0,3454792.0,,1.142,Thomaz Bellucci,64.0,9.0,4.0,57.0,30.0,47.0,28.0,24.0,19.0,10.0,9.0,,,,,2.0,107.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
11,H2H 2-0,Robin Haase,7.0,1.0,8291566.0,3454816.0,,2.25,Robin Haase,68.0,3.0,1.0,74.0,24.0,63.0,41.0,31.0,22.0,13.0,11.0,,,,,2.0,138.0,,,2.25,1.60,R16,7-6(3) 6-4,Pablo Carreno Busta,4.0,1.0,8291566.0,3454815.0,,1.6,Pablo Carreno Busta,70.0,6.0,2.0,64.0,20.0,73.0,38.0,26.0,35.0,24.0,11.0,,,,,1.0,138.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
12,H2H 1-0,Federico Delbonis,3.0,3.0,8289960.0,3454249.0,,2.15,Federico Delbonis,45.0,2.0,1.0,54.0,14.0,49.0,27.0,19.0,22.0,12.0,9.0,,,,,1.0,106.0,,,2.15,1.67,R16,6-3 6-4,Dominic Thiem,2.0,1.0,8289960.0,3454250.0,,1.667,Dominic Thiem,61.0,6.0,3.0,52.0,21.0,53.0,42.0,31.0,11.0,9.0,10.0,,,,,2.0,106.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
13,H2H 1-0,Marsel Ilhan,4.0,1.0,8291567.0,3454804.0,,3.75,Marsel Ilhan,46.0,1.0,0.0,50.0,12.0,61.0,36.0,25.0,25.0,9.0,8.0,,,,,2.0,112.0,,,3.75,1.26,R16,6-2 6-3,Santiago Giraldo,1.0,0.0,8291567.0,3454803.0,,1.26,Santiago Giraldo,66.0,10.0,3.0,62.0,28.0,50.0,37.0,29.0,13.0,9.0,9.0,,,,,1.0,112.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
14,H2H 1-1,Julian Reister,0.0,1.0,8289961.0,3454793.0,,2.15,Julian Reister,79.0,6.0,2.0,84.0,32.0,73.0,56.0,38.0,17.0,9.0,12.0,,,,,1.0,158.0,,,2.15,1.67,R16,2-6 6-4 6-1,Feliciano Lopez,10.0,2.0,8289961.0,3454794.0,,1.666,Feliciano Lopez,79.0,10.0,3.0,74.0,27.0,82.0,47.0,34.0,35.0,18.0,13.0,,,,,2.0,158.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
15,H2H 1-0,Andrey Rublev,2.0,2.0,8289943.0,3453793.0,,1.75,Andrey Rublev,60.0,5.0,1.0,65.0,19.0,67.0,49.0,32.0,18.0,9.0,11.0,,,,,1.0,134.0,,,1.75,2.00,R32,6-4 7-6(1),Horacio Zeballos,4.0,3.0,8289943.0,3453794.0,,2.0,Horacio Zeballos,74.0,2.0,2.0,69.0,28.0,62.0,36.0,30.0,26.0,16.0,11.0,,,,,2.0,134.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
16,H2H 1-0,Maxime Teixeira,1.0,7.0,8289944.0,3453795.0,,3.75,Maxime Teixeira,35.0,0.0,0.0,39.0,6.0,53.0,36.0,21.0,17.0,8.0,8.0,,,,,1.0,99.0,,,3.75,1.25,R32,6-0 6-4,Denis Istomin,1.0,1.0,8289944.0,3453796.0,,1.25,Denis Istomin,64.0,9.0,4.0,60.0,31.0,38.0,25.0,23.0,13.0,10.0,8.0,,,,,2.0,99.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
17,H2H 2-0,Henri Laaksonen,4.0,5.0,8289945.0,3453567.0,,4.55,Henri Laaksonen,59.0,3.0,0.0,63.0,18.0,66.0,38.0,26.0,28.0,15.0,10.0,,,,,1.0,134.0,,,4.55,1.19,R32,6-2 7-5,Joao Sousa,3.0,1.0,8289945.0,3453568.0,,1.185,Joao Sousa,75.0,13.0,3.0,71.0,30.0,62.0,43.0,34.0,19.0,11.0,10.0,,,,,2.0,134.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
18,H2H 1-0,Joao Souza,6.0,1.0,8289948.0,3453572.0,,1.909,Joao Souza,44.0,1.0,1.0,53.0,18.0,48.0,28.0,18.0,20.0,8.0,8.0,,,,,2.0,102.0,,,1.91,1.87,R32,6-1 6-4,Stephane Robert,7.0,4.0,8289948.0,3453571.0,,1.87,Stephane Robert,58.0,7.0,4.0,49.0,23.0,49.0,29.0,22.0,20.0,13.0,9.0,,,,,1.0,102.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
19,H2H 1-0,Kimmer Coppejans,1.0,5.0,8289949.0,3453569.0,,3.7,Kimmer Coppejans,48.0,4.0,0.0,60.0,18.0,50.0,33.0,19.0,17.0,11.0,8.0,,,,,1.0,115.0,,,3.70,1.26,R32,6-2 6-3,Thomaz Bellucci,7.0,1.0,8289949.0,3453570.0,,1.26,Thomaz Bellucci,67.0,6.0,3.0,55.0,25.0,59.0,39.0,31.0,20.0,11.0,9.0,,,,,2.0,115.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
20,H2H 1-2,Mikhail Youzhny,3.0,3.0,8289950.0,3453782.0,,3.2,Mikhail Youzhny,37.0,2.0,0.0,49.0,13.0,44.0,23.0,14.0,21.0,10.0,7.0,,,,,2.0,96.0,,,3.20,1.33,R32,6-1 6-2,Pablo Carreno Busta,7.0,1.0,8289950.0,3453781.0,,1.333,Pablo Carreno Busta,59.0,7.0,4.0,47.0,23.0,48.0,33.0,29.0,15.0,7.0,8.0,,,,,1.0,96.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
21,H2H 2-2,Marcel Granollers,1.0,2.0,8289951.0,3453592.0,,1.87,Marcel Granollers,86.0,4.0,4.0,77.0,29.0,90.0,55.0,35.0,35.0,22.0,15.0,,,,,2.0,169.0,,,1.87,1.87,R32,1-6 7-6(1) 6-4,Robin Haase,2.0,2.0,8289951.0,3453591.0,,1.87,Robin Haase,83.0,5.0,3.0,92.0,35.0,75.0,44.0,27.0,31.0,21.0,14.0,,,,,1.0,169.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
22,H2H 1-1,Marco Chiudinelli,3.0,1.0,8289952.0,3453573.0,,5.55,Marco Chiudinelli,34.0,0.0,0.0,44.0,7.0,47.0,27.0,17.0,20.0,10.0,9.0,,,,,1.0,92.0,,,5.55,1.13,R32,6-4 6-2,Federico Delbonis,8.0,0.0,8289952.0,3453574.0,,1.131,Federico Delbonis,58.0,5.0,3.0,48.0,21.0,44.0,26.0,23.0,18.0,14.0,9.0,,,,,2.0,92.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
23,H2H 3-0,Paolo Lorenzi,3.0,5.0,8289954.0,3453576.0,,2.5,Paolo Lorenzi,54.0,6.0,0.0,65.0,22.0,54.0,28.0,19.0,26.0,13.0,8.0,,,,,2.0,124.0,,,2.50,1.51,R32,6-3 6-2,Santiago Giraldo,0.0,2.0,8289954.0,3453575.0,,1.513,Santiago Giraldo,70.0,7.0,3.0,59.0,27.0,63.0,45.0,33.0,18.0,10.0,9.0,,,,,1.0,124.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
24,H2H 2-3,Andrey Kuznetsov,3.0,2.0,8289955.0,3453578.0,,1.339,Andrey Kuznetsov,27.0,0.0,0.0,32.0,4.0,48.0,27.0,17.0,21.0,6.0,8.0,,,,,2.0,82.0,,,1.34,3.15,R32,6-1 6-2,Marsel Ilhan,5.0,1.0,8289955.0,3453577.0,,3.15,Marsel Ilhan,55.0,10.0,5.0,50.0,27.0,31.0,21.0,20.0,10.0,8.0,7.0,,,,,1.0,82.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
25,H2H 2-3,Blaz Kavcic,1.0,1.0,8289956.0,3453801.0,,2.65,Blaz Kavcic,45.0,5.0,3.0,38.0,19.0,49.0,34.0,19.0,15.0,7.0,6.0,,,,,1.0,88.0,,,2.65,1.46,R32,4-6 2-0 Ret.,Julian Reister,0.0,2.0,8289956.0,3453802.0,,1.455,Julian Reister,43.0,13.0,3.0,50.0,24.0,36.0,28.0,16.0,8.0,3.0,6.0,,,,,2.0,88.0,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
26,,O Marach / A Qureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,2.15,F,3-6 6-2 10-5,A Bury / D Istomin,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-27,https://matchstat.com/tennis/tournaments/m/Gstaad/2015,Gstaad
