,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-2,Kiki Bertens,4.0,6.0,8414814.0,3575811.0,,1.25,Kiki Bertens,88.0,8.0,5.0,101.0,45.0,76.0,57.0,33.0,19.0,10.0,15.0,,,,,1.0,183.0,,,1.25,3.95,F,4-6 6-3 6-4,clay,Viktorija Golubic,1.0,2.0,8414814.0,3575812.0,,3.95,Viktorija Golubic,95.0,7.0,7.0,82.0,39.0,99.0,63.0,36.0,36.0,20.0,14.0,,,,,2.0,183.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
1,H2H 2-1,Timea Bacsinszky,0.0,5.0,8414877.0,3575805.0,,,Timea Bacsinszky,79.0,7.0,3.0,79.0,30.0,85.0,51.0,33.0,34.0,16.0,12.0,,,,,1.0,169.0,,,,,SF,7-5 7-6(1),clay,Kiki Bertens,0.0,8.0,8414877.0,3575806.0,,,Kiki Bertens,90.0,9.0,4.0,90.0,41.0,71.0,39.0,28.0,32.0,21.0,12.0,,,,,2.0,169.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
2,H2H 1-0,Rebeka Masarova,4.0,7.0,8414813.0,3575774.0,,,Rebeka Masarova,49.0,1.0,1.0,42.0,13.0,64.0,37.0,24.0,27.0,12.0,9.0,,,,,2.0,113.0,,,,,SF,6-3 6-2,clay,Viktorija Golubic,0.0,1.0,8414813.0,3575773.0,,,Viktorija Golubic,64.0,12.0,5.0,71.0,35.0,41.0,25.0,16.0,16.0,13.0,8.0,,,,,1.0,113.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
3,H2H 4-0,Johanna Larsson,0.0,3.0,8413832.0,3575362.0,,4.7,Johanna Larsson,33.0,7.0,1.0,46.0,19.0,42.0,27.0,11.0,15.0,3.0,7.0,,,,,2.0,91.0,,,4.70,1.20,QF,6-0 6-1,clay,Timea Bacsinszky,1.0,2.0,8413832.0,3575361.0,,1.2,Timea Bacsinszky,58.0,12.0,7.0,45.0,31.0,44.0,23.0,16.0,21.0,11.0,6.0,,,,,1.0,91.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
4,H2H 1-0,Irina Khromacheva,1.0,3.0,8413833.0,3575340.0,,4.6,Irina Khromacheva,47.0,3.0,1.0,55.0,19.0,58.0,31.0,18.0,27.0,10.0,8.0,,,,,2.0,116.0,,,4.60,1.20,QF,6-3 6-1,clay,Kiki Bertens,5.0,3.0,8413833.0,3575339.0,,1.2,Kiki Bertens,69.0,11.0,5.0,61.0,33.0,52.0,29.0,24.0,23.0,12.0,8.0,,,,,1.0,116.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
5,H2H 1-2,Carina Witthoeft,4.0,11.0,8413834.0,3575356.0,,1.8,Carina Witthoeft,86.0,8.0,6.0,88.0,41.0,81.0,56.0,33.0,25.0,12.0,12.0,,,,,2.0,180.0,,,1.80,2.02,QF,7-6(4) 7-6(4),clay,Viktorija Golubic,2.0,4.0,8413834.0,3575355.0,,2.02,Viktorija Golubic,94.0,9.0,6.0,92.0,47.0,84.0,62.0,36.0,22.0,11.0,12.0,,,,,1.0,180.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
6,H2H 1-0,Annika Beck,0.0,4.0,8413835.0,3575365.0,,1.18,Annika Beck,56.0,7.0,3.0,64.0,28.0,56.0,45.0,24.0,11.0,4.0,10.0,,,,,1.0,124.0,,,1.18,5.00,QF,7-5 6-2,clay,Rebeka Masarova,3.0,4.0,8413835.0,3575366.0,,5.0,Rebeka Masarova,68.0,9.0,6.0,60.0,32.0,60.0,44.0,26.0,16.0,10.0,10.0,,,,,2.0,124.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
7,H2H 1-0,Mandy Minella,1.0,1.0,8413095.0,3574474.0,,5.9,Mandy Minella,37.0,0.0,0.0,43.0,10.0,54.0,33.0,19.0,21.0,8.0,8.0,,,,,2.0,98.0,,,5.90,1.12,R16,6-2 6-2,clay,Timea Bacsinszky,1.0,2.0,8413095.0,3574473.0,,1.12,Timea Bacsinszky,61.0,9.0,4.0,55.0,28.0,41.0,26.0,23.0,15.0,10.0,8.0,,,,,1.0,98.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
8,H2H 1-0,Amra Sadikovic,5.0,1.0,8413049.0,3574469.0,,2.75,Amra Sadikovic,45.0,4.0,1.0,59.0,18.0,44.0,26.0,16.0,18.0,11.0,9.0,,,,,1.0,104.0,,,2.75,1.43,R16,6-3 6-4,clay,Johanna Larsson,1.0,5.0,8413049.0,3574470.0,,1.43,Johanna Larsson,59.0,4.0,3.0,45.0,18.0,54.0,34.0,26.0,20.0,15.0,10.0,,,,,2.0,104.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
9,H2H 2-0,Claire Feuerstein,3.0,5.0,8413096.0,3575322.0,,,Claire Feuerstein,67.0,9.0,1.0,76.0,25.0,68.0,33.0,23.0,35.0,19.0,9.0,,,,,2.0,149.0,,,,,R16,7-6(9) 6-1,clay,Kiki Bertens,4.0,7.0,8413096.0,3575321.0,,,Kiki Bertens,82.0,7.0,3.0,73.0,31.0,69.0,47.0,38.0,22.0,13.0,10.0,,,,,1.0,149.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
10,H2H 1-0,Julia Goerges,4.0,4.0,8413050.0,3575324.0,,,Julia Goerges,52.0,5.0,0.0,64.0,16.0,53.0,33.0,25.0,20.0,11.0,10.0,,,,,2.0,121.0,,,,,R16,7-5 6-3,clay,Irina Khromacheva,5.0,3.0,8413050.0,3575323.0,,,Irina Khromacheva,69.0,2.0,2.0,57.0,21.0,61.0,33.0,28.0,28.0,20.0,11.0,,,,,1.0,121.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
